ᱥᱟᱱᱛᱟᱲᱤ,English
ᱟᱥᱜᱟᱣᱛᱩᱨ,Ásgautur
ᱟᱥᱜᱽᱨᱤᱢᱩᱨ,Ásgrímur
ᱟᱥ,Ash
ᱟᱥᱟ,Asha
ᱟᱥᱦᱮᱨ,Asher
ᱟᱥᱯᱷᱚᱨᱰ,Ashford
ᱟᱹᱥᱚᱠᱟ,Ashoka
ᱟᱥᱛᱚᱱ,Ashton
ᱟᱥᱤᱨ,Asier
ᱟᱥᱞᱟᱠᱩᱨ,Áslákur
ᱟᱥᱞᱟᱱ,Aslan
ᱟᱥᱴᱮᱨᱤᱠᱥ,Asterix
ᱟᱥᱴᱚᱞᱯᱷᱚ,Astolfo
ᱟᱥᱴᱚᱨ,Astor
ᱟᱴᱟᱨᱦᱩᱣᱟᱞᱯᱟ,Atahualpa
ᱟᱴᱟᱞᱟᱥ,Atalas
ᱟᱴᱟᱞᱤᱣᱟᱨ,Atalívar
ᱟᱴᱟᱞᱚ,Atalo
ᱟᱴᱟᱱᱟᱥᱤᱭᱚ,Atanasio
ᱟᱴᱮᱱᱟᱜᱚᱨᱟᱥ,Atenágoras
ᱟᱹᱛᱷᱟᱱᱟᱥᱤᱭᱩᱥ,Athanasius
ᱟᱹᱛᱷᱮᱱᱟᱜᱚᱨᱟᱥ,Athenagoras
ᱟᱹᱛᱷᱚᱥ,Athos
ᱟᱹᱴᱤᱠᱚ,Atico
ᱟᱹᱴᱤᱞᱟ,Atila
ᱟᱹᱴᱤᱞᱤᱭᱟᱱᱚ,Atiliano
ᱟᱹᱴᱤᱞᱤᱭᱚ,Atilio
ᱟᱹᱴᱚᱥ,Atos
ᱟᱹᱴᱤᱞᱤᱭᱟ,Attila
ᱟᱹᱴᱩᱭᱮᱞ,Atuel
ᱟᱹᱣᱵᱮᱨᱚᱱ,Auberon
ᱟᱹᱣᱵᱮᱨᱴᱚ,Auberto
ᱟᱹᱣᱵᱤᱱ,Aubin
ᱟᱹᱣᱪᱷᱤᱱᱠᱞᱚᱥ,Auchincloss
ᱟᱹᱣᱰᱟ,Auda
ᱟᱹᱣᱰᱮᱞᱤᱭᱟᱱᱚ,Audeliano
ᱟᱹᱣᱰᱮᱞᱤᱱᱚ,Audelino
ᱟᱹᱣᱰᱨᱤᱠ,Audric
ᱚᱜᱚᱥᱴ,August
ᱚᱜᱚᱥᱴᱮ,Auguste
ᱚᱜᱚᱥᱴᱤᱱ,Augustin
ᱚᱜᱚᱥᱴᱤᱱ,Augustine
ᱚᱜᱚᱥᱴᱚ,Augusto
ᱚᱜᱚᱥᱴᱚᱥ,Augustus
ᱟᱹᱣᱠᱷᱟ,Aukha
ᱟᱹᱣᱨᱚᱝᱡᱮᱵᱽ,Aurangzeb
ᱟᱹᱣᱨᱠᱚ,Aurco
ᱟᱹᱣᱨᱮᱞᱮ,Aurèle
ᱟᱹᱣᱨᱮᱞᱤᱭᱟᱱᱚ,Aureliano
ᱟᱹᱣᱨᱮᱞᱤᱱ,Aurelien
ᱟᱹᱣᱨᱮᱞᱤᱭᱚ,Aurelio
ᱟᱹᱣᱨᱤᱭᱚ,Aureo
ᱟᱹᱣᱨᱤᱠᱚ,Aurico
ᱟᱹᱣᱥᱴᱤᱱ,Austen
ᱟᱹᱩᱥᱴᱤᱱ,Austin
ᱟᱹᱣᱥᱴᱤᱢ,Austyn
ᱟᱹᱣᱮᱞᱤᱱᱚ,Avelino
ᱟᱹᱣᱮᱱᱴᱤᱱᱚ,Aventino
ᱟᱹᱣᱤᱞᱤᱭᱚ,Avilio
ᱟᱹᱣᱤᱴᱚ,Avito
ᱮᱠᱥᱮᱞ,Axel
ᱮᱠᱥᱤᱭᱮᱞ,Axiel
ᱮᱠᱥᱮᱱ,Axne
ᱟᱭᱟᱠᱥ,Ayax
ᱟᱭᱰᱮᱱ,Ayden
ᱟᱭᱢᱮᱱ,Ayman
ᱟᱭᱢᱮᱨᱤᱠ,Aymeric
ᱟᱭᱨᱴᱚᱱ,Ayrton
ᱟᱹᱭᱩᱵ,Ayub
ᱟᱡᱟᱢᱟᱛ,Azamat
ᱟᱡᱟᱨᱤᱭᱟᱥ,Azarias
ᱟᱨᱡᱟᱭᱮᱞ,Azrael
ᱟᱡᱚ,Azzo
ᱟᱡᱚᱞᱤᱱᱚ,Azzolino
