ᱥᱟᱱᱛᱟᱲᱤ,English
Ásgautur,ᱟᱥᱜᱟᱣᱛᱩᱨ
Ásgrímur,ᱟᱥᱜᱽᱨᱤᱢᱩᱨ
Ash,ᱟᱥ
Asha,ᱟᱥᱟ
Asher,ᱟᱥᱦᱮᱨ
Ashford,ᱟᱥᱯᱷᱚᱨᱰ
Ashoka,ᱟᱹᱥᱚᱠᱟ
Ashton,ᱟᱥᱛᱚᱱ
Asier,ᱟᱥᱤᱨ
Áslákur,ᱟᱥᱞᱟᱠᱩᱨ
Aslan,ᱟᱥᱞᱟᱱ
Asterix,ᱟᱥᱴᱮᱨᱤᱠᱥ
Astolfo,ᱟᱥᱴᱚᱞᱯᱷᱚ
Astor,ᱟᱥᱴᱚᱨ
Atahualpa,ᱟᱴᱟᱨᱦᱩᱣᱟᱞᱯᱟ
Atalas,ᱟᱴᱟᱞᱟᱥ
Atalívar,ᱟᱴᱟᱞᱤᱣᱟᱨ
Atalo,ᱟᱴᱟᱞᱚ
Atanasio,ᱟᱴᱟᱱᱟᱥᱤᱭᱚ
Atenágoras,ᱟᱴᱮᱱᱟᱜᱚᱨᱟᱥ
Athanasius,ᱟᱹᱛᱷᱟᱱᱟᱥᱤᱭᱩᱥ
Athenagoras,ᱟᱹᱛᱷᱮᱱᱟᱜᱚᱨᱟᱥ
Athos,ᱟᱹᱛᱷᱚᱥ
Atico,ᱟᱹᱴᱤᱠᱚ
Atila,ᱟᱹᱴᱤᱞᱟ
Atiliano,ᱟᱹᱴᱤᱞᱤᱭᱟᱱᱚ
Atilio,ᱟᱹᱴᱤᱞᱤᱭᱚ
Atos,ᱟᱹᱴᱚᱥ
Attila,ᱟᱹᱴᱤᱞᱤᱭᱟ
Atuel,ᱟᱹᱴᱩᱭᱮᱞ
Auberon,ᱟᱹᱣᱵᱮᱨᱚᱱ
Auberto,ᱟᱹᱣᱵᱮᱨᱴᱚ
Aubin,ᱟᱹᱣᱵᱤᱱ
Auchincloss,ᱟᱹᱣᱪᱷᱤᱱᱠᱞᱚᱥ
Auda,ᱟᱹᱣᱰᱟ
Audeliano,ᱟᱹᱣᱰᱮᱞᱤᱭᱟᱱᱚ
Audelino,ᱟᱹᱣᱰᱮᱞᱤᱱᱚ
Audric,ᱟᱹᱣᱰᱨᱤᱠ
August,ᱚᱜᱚᱥᱴ
Auguste,ᱚᱜᱚᱥᱴᱮ
Augustin,ᱚᱜᱚᱥᱴᱤᱱ
Augustine,ᱚᱜᱚᱥᱴᱤᱱ
Augusto,ᱚᱜᱚᱥᱴᱚ
Augustus,ᱚᱜᱚᱥᱴᱚᱥ
Aukha,ᱟᱹᱣᱠᱷᱟ
Aurangzeb,ᱟᱹᱣᱨᱚᱝᱡᱮᱵᱽ
Aurco,ᱟᱹᱣᱨᱠᱚ
Aurèle,ᱟᱹᱣᱨᱮᱞᱮ
Aureliano,ᱟᱹᱣᱨᱮᱞᱤᱭᱟᱱᱚ
Aurelien,ᱟᱹᱣᱨᱮᱞᱤᱱ
Aurelio,ᱟᱹᱣᱨᱮᱞᱤᱭᱚ
Aureo,ᱟᱹᱣᱨᱤᱭᱚ
Aurico,ᱟᱹᱣᱨᱤᱠᱚ
Austen,ᱟᱹᱣᱥᱴᱤᱱ
Austin,ᱟᱹᱩᱥᱴᱤᱱ
Austyn,ᱟᱹᱣᱥᱴᱤᱢ
Avelino,ᱟᱹᱣᱮᱞᱤᱱᱚ
Aventino,ᱟᱹᱣᱮᱱᱴᱤᱱᱚ
Avilio,ᱟᱹᱣᱤᱞᱤᱭᱚ
Avito,ᱟᱹᱣᱤᱴᱚ
Axel,ᱮᱠᱥᱮᱞ
Axiel,ᱮᱠᱥᱤᱭᱮᱞ
Axne,ᱮᱠᱥᱮᱱ
Ayax,ᱟᱭᱟᱠᱥ
Ayden,ᱟᱭᱰᱮᱱ
Ayman,ᱟᱭᱢᱮᱱ
Aymeric,ᱟᱭᱢᱮᱨᱤᱠ
Ayrton,ᱟᱭᱨᱴᱚᱱ
Ayub,ᱟᱹᱭᱩᱵ
Azamat,ᱟᱡᱟᱢᱟᱛ
Azarias,ᱟᱡᱟᱨᱤᱭᱟᱥ
Azrael,ᱟᱨᱡᱟᱭᱮᱞ
Azzo,ᱟᱡᱚ
Azzolino,ᱟᱡᱚᱞᱤᱱᱚ
